[INFO][2021-06-09 20:22:12,045][MyTest1]info:进入了test_log4j
[DEBUG][2021-06-09 20:22:12,052][MyTest1]debug:进入了test_log4j
[ERROR][2021-06-09 20:22:12,053][MyTest1]error:进入了test_log4j
[DEBUG][2021-06-10 20:21:39,737][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:21:39,744][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:21:39,786][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:21:39,787][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:21:39,788][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:21:39,790][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:22:09,235][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:22:09,242][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:22:09,300][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:22:09,301][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:22:09,302][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:22:09,303][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:22:56,424][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:22:56,430][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:22:56,477][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:22:56,478][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:22:56,479][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:22:56,479][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:25:16,275][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:25:16,293][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:25:16,378][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:25:16,380][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:25:16,381][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:25:16,381][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:25:16,755][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Opening JDBC Connection
[DEBUG][2021-06-10 20:25:18,465][org.apache.ibatis.datasource.pooled.PooledDataSource]Created connection 1868805237.
[DEBUG][2021-06-10 20:25:18,466][org.apache.ibatis.transaction.jdbc.JdbcTransaction]Setting autocommit to false on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@6f63b475]
[DEBUG][2021-06-10 20:25:18,477][com.com.kuang.dao.UserMapper2.getUserByLimit]==>  Preparing: select * from mybatis.user limit ?,?
[DEBUG][2021-06-10 20:25:18,560][com.com.kuang.dao.UserMapper2.getUserByLimit]==> Parameters: 2(Integer), 2(Integer)
[DEBUG][2021-06-10 20:25:18,658][com.com.kuang.dao.UserMapper2.getUserByLimit]<==      Total: 2
[DEBUG][2021-06-10 20:28:43,841][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:28:43,848][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:28:43,905][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:28:43,905][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:28:43,906][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:28:43,906][org.apache.ibatis.datasource.pooled.PooledDataSource]PooledDataSource forcefully closed/removed all connections.
[DEBUG][2021-06-10 20:29:13,750][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][2021-06-10 20:29:13,756][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
